Capítulo,nat_group,count,chapter_total,share_within_chapter
"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A)",Chilean,6185,7701,80.31424490325931
"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A)",Foreign,1516,7701,19.685755096740685
Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95),Chilean,6503,6847,94.97590185482693
Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95),Foreign,344,6847,5.024098145173069
"Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",Chilean,4689,4946,94.8038819247877
"Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",Foreign,257,4946,5.196118075212293
Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99),Chilean,4442,4550,97.62637362637363
Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99),Foreign,108,4550,2.3736263736263736
Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99),Chilean,3994,4259,93.77788213195586
Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99),Foreign,265,4259,6.222117868044142
Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),Chilean,4124,4218,97.77145566619251
Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),Foreign,94,4218,2.2285443338074917
Cap.02  NEOPLASIAS (C00-D49),Chilean,3136,3386,92.6166568222091
Cap.02  NEOPLASIAS (C00-D49),Foreign,250,3386,7.383343177790904
Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59),Chilean,2946,3016,97.67904509283821
Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59),Foreign,70,3016,2.320954907161804
Cap.21  FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD Y CONTACTO CON LOS SERVICIOS SANITARIOS (Z00-Z99),Chilean,1230,1301,94.54265949269792
Cap.21  FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD Y CONTACTO CON LOS SERVICIOS SANITARIOS (Z00-Z99),Foreign,71,1301,5.457340507302075
Cap.13  ENFERMEDADES DEL APARATO MUSCULOESQUELÉTICO Y DEL TEJIDO CONECTIVO (M00-M99),Chilean,1200,1242,96.61835748792271
